Name,Estimated,Real,Difference %,Best Abalone Match,Best Ruler Match,Ruler Value
2016-08-01 17_53_30.3A.jpg,7.007312499999999,7.44,-5.815692204301088,30thresh_3blur_color_ab,30thresh_3blur_color_quarter,296438.67835634627
IMG_6013.JPG,13.763235294117647,10.28,33.88361181048296,30thresh_3blur_color_ab,10thresh_3blur_gray_quarter,296438.67835634627
white/Eric 13.jpg,10.379065934065935,9.330708661,11.235558960787229,10thresh_3blur_bw_ab,10thresh_5blur_quarter,296438.67835634627
2016-08-01 18_21_56.1A.jpg,9.17338028169014,9.341,-1.7944515395552914,10thresh_5blur_color_ab,30thresh_1blur_color_quarter,296438.67835634627
2016-08-01 18_21_56.3A.jpg,9.55,9.401,1.5849377725773952,10thresh_7blur_color_ab,10thresh_1blur_gray_quarter,296438.67835634627
IMG_6007.JPG,9.925737704918033,10.28,-3.4461312751164033,10thresh_3blur_color_ab,30thresh_1blur_color_quarter,296438.67835634627
IMG_6016.JPG,8.786,8.99,-2.269187986651842,30thresh_1blur_color_ab,10thresh_5blur_color_quarter,296438.67835634627
2016-08-01 18_37_43.1A.jpg,9.402042253521126,8.288,13.441629506770337,10thresh_3blur_color_ab,10thresh_3blur_gray_quarter,296438.67835634627
white/Lyle 6.jpg,9.411927710843372,8.42519685,11.711665358220934,10thresh_7blur_bw_ab,10thresh_1blur_quarter,296438.67835634627
IMG_6008.JPG,9.858538461538462,10.28,-4.099820413049975,10thresh_1blur_bw_ab,10thresh_7blur_quarter,296438.67835634627
IMG_6021.JPG,9.092676056338027,8.99,1.1421140860737091,10thresh_7blur_bw_ab,10thresh_1blur_quarter,296438.67835634627
2016-08-01 17_53_30.2B.jpg,7.654253731343284,7.692,-0.49072112138216095,10thresh_3blur_color_ab,30thresh_5blur_color_quarter,296438.67835634627
2016-08-01 17_44_32.3B.jpg,6.359893617021276,10.87,-41.49131907064143,10thresh_5blur_color_ab,50thresh_3blur_color_quarter,296438.67835634627
blue/Eric 12.jpg,8.065878378378379,9.015748031,-10.535672130094609,50thresh_1blur_color_ab,30thresh_1blur_color_quarter,296438.67835634627
IMG_6017.JPG,8.993924050632911,8.99,0.04364906154517009,10thresh_7blur_color_ab,10thresh_7blur_quarter,296438.67835634627
2016-08-01 18_32_21.2B.jpg,10.842923076923077,9.847,10.113974580309506,10thresh_3blur_color_ab,30thresh_7blur_color_quarter,296438.67835634627
2016-08-01 17_53_30.1A.jpg,9.760661764705882,10.073,-3.100746900567049,10thresh_3blur_color_ab,10thresh_1blur_color_quarter,296438.67835634627
2016-08-01 17_44_32.2B.jpg,10.197457627118643,10.251,-0.5223136560467878,10thresh_3blur_color_ab,30thresh_3blur_color_quarter,296438.67835634627
IMG_6018.JPG,9.952105263157895,8.99,10.701949534570577,30thresh_5blur_color_ab,10thresh_1blur_quarter,296438.67835634627
blue/Frank 15.jpg,9.592132352941174,8.897637795,7.805381315155848,70thresh_5blur_color_ab,10thresh_7blur_color_quarter,296438.67835634627
IMG_6009.JPG,11.204196428571429,10.28,8.990237632017795,10thresh_7blur_color_ab,30thresh_7blur_color_quarter,296438.67835634627
2016-08-01 17_53_30.3B.jpg,7.51894366197183,7.44,1.0610707254278227,10thresh_5blur_color_ab,30thresh_3blur_color_quarter,296438.67835634627
IMG_6028.JPG,10.955471698113207,9.55,14.716981132075462,10thresh_1blur_color_ab,30thresh_5blur_color_quarter,296438.67835634627
white/Eric 14.jpg,11.724461538461538,8.818897638,32.94701922768297,10thresh_5blur_bw_ab,10thresh_7blur_quarter,296438.67835634627
2016-08-01 18_21_56.3B.jpg,6.062173913043478,9.401,-35.51564819653784,10thresh_3blur_color_ab,70thresh_1blur_color_quarter,296438.67835634627
2016-08-01 18_37_43.1B.jpg,6.366666666666666,8.288,-23.18211068211069,10thresh_5blur_color_ab,10thresh_3blur_color_quarter,296438.67835634627
blue/Frank 13.jpg,9.263499999999999,9.05511811,2.301260872233927,50thresh_3blur_color_ab,10thresh_1blur_color_quarter,296438.67835634627
IMG_6030.JPG,7.95311475409836,9.55,-16.72131147540985,10thresh_1blur_color_ab,30thresh_1blur_color_quarter,296438.67835634627
IMG_6025.JPG,12.3294776119403,9.55,29.104477611940304,10thresh_7blur_color_ab,10thresh_3blur_color_quarter,296438.67835634627
IMG_6006.JPG,10.034846153846154,10.28,-2.3847650404070606,30thresh_3blur_color_ab,30thresh_7blur_color_quarter,296438.67835634627
white/Frank 15.jpg,8.67542105263158,8.897637795,-2.4974802019171256,10thresh_7blur_bw_ab,10thresh_1blur_quarter,296438.67835634627
IMG_6029.JPG,9.902615384615386,9.55,3.692307692307696,50thresh_1blur_color_ab,10thresh_5blur_color_quarter,296438.67835634627
IMG_6015.JPG,9.95554794520548,8.99,10.740244106846264,70thresh_7blur_color_ab,70thresh_7blur_color_quarter,296438.67835634627
IMG_6022.JPG,10.804328358208956,8.99,20.181628011223086,10thresh_5blur_bw_ab,10thresh_3blur_color_quarter,296438.67835634627
IMG_6020.JPG,6.870298507462687,8.99,-23.57843706938057,10thresh_3blur_color_ab,30thresh_1blur_color_quarter,296438.67835634627
2016-08-01 18_32_21.1A.jpg,7.098505154639175,9.702,-26.83462013358921,10thresh_1blur_color_ab,10thresh_1blur_color_quarter,296438.67835634627
IMG_6026.JPG,8.72376404494382,9.55,-8.651685393258433,10thresh_1blur_color_ab,10thresh_5blur_quarter,296438.67835634627
2016-08-01 18_21_56.2B.jpg,8.272364864864864,8.759,-5.555829833715453,10thresh_3blur_color_ab,30thresh_3blur_color_quarter,296438.67835634627
2016-08-01 18_32_21.3B.jpg,8.780298507462687,9.892,-11.238389532322204,10thresh_3blur_color_ab,10thresh_7blur_color_quarter,296438.67835634627
IMG_6010.JPG,9.968859649122807,10.28,-3.026657109700313,10thresh_7blur_color_ab,30thresh_3blur_color_quarter,296438.67835634627
2016-08-01 18_21_56.1B.jpg,6.187604166666667,9.341,-33.75865360596652,10thresh_1blur_color_ab,50thresh_1blur_color_quarter,296438.67835634627
IMG_6019.JPG,10.358076923076924,8.99,15.217763326773342,10thresh_1blur_color_ab,10thresh_1blur_gray_quarter,296438.67835634627
white/Eric 12.jpg,9.549999999999999,9.015748031,5.925764197967964,10thresh_1blur_bw_ab,10thresh_3blur_color_quarter,296438.67835634627
white/Jon 14.jpg,8.495779220779221,9.251968504,-8.173279912202986,10thresh_7blur_bw_ab,10thresh_1blur_quarter,296438.67835634627
IMG_6027.JPG,6.94056338028169,9.55,-27.32394366197184,30thresh_1blur_color_ab,10thresh_7blur_gray_quarter,296438.67835634627
blue/Frank 14.jpg,9.717543859649123,9.05511811,7.315484365881144,30thresh_3blur_color_ab,70thresh_5blur_color_quarter,296438.67835634627
2016-08-01 17_44_32.2A.jpg,6.654842105263158,10.251,-35.081044724776525,10thresh_3blur_color_ab,50thresh_7blur_color_quarter,296438.67835634627
2016-08-01 17_53_30.2A.jpg,7.496095890410959,7.692,-2.546855298869494,10thresh_5blur_color_ab,10thresh_3blur_color_quarter,296438.67835634627
white/Frank 13.jpg,9.271458333333333,9.05511811,2.3891485533956542,10thresh_1blur_bw_ab,10thresh_3blur_quarter,296438.67835634627
blue/Eric 14.jpg,9.0725,8.818897638,2.875669640468964,50thresh_1blur_color_ab,70thresh_5blur_color_quarter,296438.67835634627
blue/Eric 13.jpg,9.078866666666666,9.330708661,-2.6990660997269003,10thresh_5blur_color_ab,30thresh_1blur_color_quarter,296438.67835634627
2016-08-01 17_44_32.3A.jpg,10.082295081967212,10.87,-7.24659538208636,10thresh_3blur_color_ab,10thresh_7blur_color_quarter,296438.67835634627
white/Frank 14.jpg,9.455549450549452,9.05511811,4.42215480444408,10thresh_3blur_bw_ab,10thresh_5blur_quarter,296438.67835634627
2016-08-01 17_44_32.1A.jpg,10.112767857142856,10.623,-4.803088984817315,10thresh_5blur_color_ab,10thresh_7blur_color_quarter,296438.67835634627
IMG_6012.JPG,9.82472602739726,10.28,-4.428735142049998,10thresh_3blur_bw_ab,10thresh_1blur_quarter,296438.67835634627
2016-08-01 17_44_32.1B.jpg,10.471491228070175,10.623,-1.426233379740419,10thresh_3blur_color_ab,10thresh_5blur_color_quarter,296438.67835634627
2016-08-01 18_21_56.2A.jpg,8.532987012987013,8.759,-2.580351490044385,10thresh_7blur_color_ab,10thresh_5blur_color_quarter,296438.67835634627
blue/Lyle 6.jpg,7.603269230769231,8.42519685,-9.755589499736962,50thresh_7blur_color_ab,10thresh_3blur_color_quarter,296438.67835634627
blue/Jon 14.jpg,8.29342105263158,9.251968504,-10.360470325358353,70thresh_3blur_color_ab,10thresh_7blur_color_quarter,296438.67835634627
Total,0,0,646.4825823602836,-,-,-,-
